EmpID,Name,Gender,Month,MonthNum,Quarter,Year,Group,Function,Confirmed,Headcount
E094,Zora Jordan,F,Jun,6,Q2,2023,J,Administration,Y,1
E095,Nkosi Owens,M,Jul,7,Q3,2023,I,General Management,Y,1
E096,Amara Reynolds,F,Jul,7,Q3,2023,H,Human Resource,N,1
E097,Kofi Fisher,M,Jul,7,Q3,2023,G,First Choice,Y,1
E098,Nia Ellis,F,Jul,7,Q3,2023,F,Marketing,Y,1
E099,Kwame Harrison,M,Aug,8,Q3,2023,6,Procurement,N,1
E100,Adaeze Gibson,F,Aug,8,Q3,2023,7,Operations,Y,1
E101,Obinna McDonald,M,Aug,8,Q3,2023,8,Commercial,Y,1
E102,Chisom Cruz,F,Aug,8,Q3,2023,Part Time,Finance,N,1
E103,Emeka Morgan,M,Sep,9,Q3,2023,10,Customer Service,Y,1
E104,Ngozi Rivera,F,Sep,9,Q3,2023,9,Information Services,Y,1
E105,Chukwu Cooper,M,Sep,9,Q3,2023,5,Administration,N,1
E106,Adaora Richardson,F,Sep,9,Q3,2023,L,General Management,Y,1
E107,Ifeanyi Cox,M,Oct,10,Q4,2023,K,Human Resource,Y,1
E108,Obiageli Howard,F,Oct,10,Q4,2023,J,First Choice,N,1
E109,Uchenna Ward,M,Oct,10,Q4,2023,I,Marketing,Y,1
E110,Adanna Torres,F,Oct,10,Q4,2023,H,Procurement,Y,1
E111,Emeka Peterson,M,Nov,11,Q4,2023,G,Operations,N,1
E112,Amaka Gray,F,Nov,11,Q4,2023,F,Commercial,Y,1
E113,Chidi Ramirez,M,Nov,11,Q4,2023,6,Finance,Y,1
E114,Nkechi James,F,Nov,11,Q4,2023,7,Customer Service,N,1
E115,Obinna Watson,M,Dec,12,Q4,2023,8,Information Services,Y,1
E116,Adaeze Brooks,F,Dec,12,Q4,2023,Part Time,Administration,Y,1
E117,Kofi Kelly,M,Dec,12,Q4,2023,10,General Management,N,1
E118,Nia Sanders,F,Dec,12,Q4,2023,9,Human Resource,Y,1
E119,Kwame Price,M,Jan,1,Q1,2023,5,First Choice,Y,1
E120,Amara Bennett,F,Jan,1,Q1,2023,L,Marketing,N,1
E121,Rasheed Wood,M,Jan,1,Q1,2023,K,Procurement,Y,1
E122,Aaliyah Ross,F,Jan,1,Q1,2023,J,Operations,Y,1
E123,Hakeem Henderson,M,Feb,2,Q1,2023,I,Commercial,N,1
E124,Zora Coleman,F,Feb,2,Q1,2023,H,Finance,Y,1
E125,Nkosi Jenkins,M,Feb,2,Q1,2023,G,Customer Service,Y,1
E126,Fatima Perry,F,Feb,2,Q1,2023,F,Information Services,N,1
E127,Jamal Morgan,M,Mar,3,Q1,2023,6,Administration,Y,1
E128,Imani Brooks,F,Mar,3,Q1,2023,7,General Management,Y,1
E129,Kareem Kelly,M,Mar,3,Q1,2023,8,Human Resource,N,1
E130,Aaliyah Sanders,F,Mar,3,Q1,2023,Part Time,First Choice,Y,1
E131,Marcus Price,M,Apr,4,Q2,2023,10,Marketing,Y,1
E132,Tara Bennett,F,Apr,4,Q2,2023,9,Procurement,N,1
E133,Darnell Wood,M,Apr,4,Q2,2023,5,Operations,Y,1
E134,Jasmine Ross,F,Apr,4,Q2,2023,L,Commercial,Y,1
E135,Terrence Henderson,M,May,5,Q2,2023,K,Finance,N,1
E136,Candice Coleman,F,May,5,Q2,2023,J,Customer Service,Y,1
E137,Roderick Jenkins,M,May,5,Q2,2023,I,Information Services,Y,1
E138,Monique Perry,F,May,5,Q2,2023,H,Administration,N,1
E139,Dexter Morgan,M,Jun,6,Q2,2023,G,General Management,Y,1
E140,Yolanda Brooks,F,Jun,6,Q2,2023,F,Human Resource,Y,1
E141,Cedric Kelly,M,Jun,6,Q2,2023,6,First Choice,N,1
E142,Latoya Sanders,F,Jun,6,Q2,2023,7,Marketing,Y,1
E143,Reginald Price,M,Jul,7,Q3,2023,8,Procurement,Y,1
E144,Veronica Bennett,F,Jul,7,Q3,2023,Part Time,Operations,N,1
E145,Marvin Wood,M,Jul,7,Q3,2023,10,Commercial,Y,1
E146,Tamika Ross,F,Jul,7,Q3,2023,9,Finance,Y,1
E147,Quincy Henderson,M,Aug,8,Q3,2023,5,Customer Service,N,1
E148,Dominique Coleman,F,Aug,8,Q3,2023,L,Information Services,Y,1
E149,Jermaine Jenkins,M,Aug,8,Q3,2023,K,Administration,Y,1
E150,Shaniqua Perry,F,Aug,8,Q3,2023,J,General Management,N,1
E151,DeShawn Morgan,M,Sep,9,Q3,2023,I,Human Resource,Y,1
E152,Keisha Brooks,F,Sep,9,Q3,2023,H,First Choice,Y,1
E153,Tyrone Kelly,M,Sep,9,Q3,2023,G,Marketing,N,1
E154,Niesha Sanders,F,Sep,9,Q3,2023,F,Procurement,Y,1
E155,Darius Price,M,Oct,10,Q4,2023,6,Operations,Y,1
E156,Tanisha Bennett,F,Oct,10,Q4,2023,7,Commercial,N,1
E157,Malik Wood,M,Oct,10,Q4,2023,8,Finance,Y,1
E158,Ebony Ross,F,Oct,10,Q4,2023,Part Time,Customer Service,Y,1
E159,Jamal Henderson,M,Nov,11,Q4,2023,10,Information Services,N,1
E160,Imani Coleman,F,Nov,11,Q4,2023,9,Administration,Y,1
E161,Peter Johnson,M,Jan,1,Q1,2023,5,General Management,Y,1
E162,Susan Williams,F,Jan,1,Q1,2023,L,Human Resource,N,1
E163,George Jones,M,Jan,1,Q1,2023,K,First Choice,Y,1
E164,Karen Davis,F,Jan,1,Q1,2023,J,Marketing,Y,1
E165,Donald Miller,M,Feb,2,Q1,2023,I,Procurement,N,1
E166,Betty Wilson,F,Feb,2,Q1,2023,H,Operations,Y,1
E167,Kenneth Moore,M,Feb,2,Q1,2023,G,Commercial,Y,1
E168,Helen Taylor,F,Feb,2,Q1,2023,F,Finance,N,1
E169,Paul Anderson,M,Mar,3,Q1,2023,6,Customer Service,Y,1
E170,Sandra Thomas,F,Mar,3,Q1,2023,7,Information Services,Y,1
E171,Mark Jackson,M,Mar,3,Q1,2023,8,Administration,N,1
E172,Donna White,F,Mar,3,Q1,2023,Part Time,General Management,Y,1
E173,Larry Harris,M,Apr,4,Q2,2023,10,Human Resource,Y,1
E174,Carol Martin,F,Apr,4,Q2,2023,9,First Choice,N,1
E175,Jeffrey Garcia,M,Apr,4,Q2,2023,5,Marketing,Y,1
E176,Ruth Martinez,F,Apr,4,Q2,2023,L,Procurement,Y,1
E177,Frank Robinson,M,May,5,Q2,2023,K,Operations,N,1
E178,Sharon Clark,F,May,5,Q2,2023,J,Commercial,Y,1
E179,Scott Rodriguez,M,May,5,Q2,2023,I,Finance,Y,1
E180,Michelle Lewis,F,May,5,Q2,2023,H,Customer Service,N,1
E181,Raymond Lee,M,Jun,6,Q2,2023,G,Information Services,Y,1
E182,Virginia Walker,F,Jun,6,Q2,2023,F,Administration,Y,1
E183,Gregory Hall,M,Jun,6,Q2,2023,6,General Management,N,1
E184,Kathleen Allen,F,Jun,6,Q2,2023,7,Human Resource,Y,1
E185,Stephen Young,M,Jul,7,Q3,2023,8,First Choice,Y,1
E186,Pamela Hernandez,F,Jul,7,Q3,2023,Part Time,Marketing,N,1
E187,Patrick King,M,Jul,7,Q3,2023,10,Procurement,Y,1
E188,Rebecca Wright,F,Jul,7,Q3,2023,9,Operations,Y,1
E189,Jack Lopez,M,Aug,8,Q3,2023,5,Commercial,N,1
E190,Deborah Hill,F,Aug,8,Q3,2023,L,Finance,Y,1
E191,Dennis Scott,M,Aug,8,Q3,2023,K,Customer Service,Y,1
E192,Cheryl Green,F,Aug,8,Q3,2023,J,Information Services,N,1
E193,Jerry Adams,M,Sep,9,Q3,2023,I,Administration,Y,1
E194,Janet Baker,F,Sep,9,Q3,2023,H,General Management,Y,1
E195,Walter Gonzalez,M,Sep,9,Q3,2023,G,Human Resource,N,1
E196,Frances Nelson,F,Sep,9,Q3,2023,F,First Choice,Y,1
E197,Henry Carter,M,Oct,10,Q4,2023,6,Marketing,Y,1
E198,Joyce Mitchell,F,Oct,10,Q4,2023,7,Procurement,N,1
E199,Douglas Perez,M,Oct,10,Q4,2023,8,Operations,Y,1
E200,Evelyn Roberts,F,Oct,10,Q4,2023,Part Time,Commercial,Y,1
E201,Arthur Turner,M,Nov,11,Q4,2023,10,Finance,N,1
E202,Lois Phillips,F,Nov,11,Q4,2023,9,Customer Service,,

